n, time_ns, comparisons, allocations, max_recursion_depth
6820, 3643700, 8883, 2724, 13
6830, 3295400, 8961, 2734, 13
6840, 3124300, 8966, 2744, 13
6850, 3277500, 8941, 2754, 13
6860, 3984700, 8974, 2764, 13
6870, 3246700, 8957, 2774, 13
6880, 3768700, 8978, 2784, 13
6890, 3127600, 8954, 2794, 13
6900, 3540300, 8985, 2804, 13
6910, 3772400, 8922, 2814, 13
6920, 3302500, 8983, 2824, 13
6930, 3566300, 8947, 2834, 13
6940, 3973800, 8980, 2844, 13
6950, 4666900, 9000, 2854, 13
6960, 3513400, 8997, 2864, 13
6970, 3864100, 8998, 2874, 13
6980, 3231800, 8972, 2884, 13
6990, 3945800, 9001, 2894, 13
7000, 4445400, 9001, 2904, 13
7010, 3228700, 8981, 2914, 13
7020, 3179100, 9070, 2924, 13
7030, 3271800, 9018, 2934, 13
7040, 3461500, 9044, 2944, 13
7050, 4147600, 8968, 2954, 13
7060, 3199200, 8945, 2964, 13
7070, 3351100, 9002, 2974, 13
7080, 4170300, 9026, 2984, 13
7090, 4515100, 9023, 2994, 13
7100, 3259000, 9035, 3004, 13
7110, 3258000, 9052, 3014, 13
7120, 3377600, 9068, 3024, 13
7130, 3591800, 9041, 3034, 13
7140, 3608400, 9012, 3044, 13
7150, 3380900, 9041, 3054, 13
7160, 3321600, 9091, 3064, 13
7170, 3789100, 9097, 3074, 13
7180, 3571100, 9028, 3084, 13
7190, 3453200, 9063, 3094, 13
7200, 3324000, 9051, 3104, 13
7210, 3805900, 9030, 3114, 13
7220, 3415000, 9076, 3124, 13
7230, 3429600, 9074, 3134, 13
7240, 4150000, 9126, 3144, 13
7250, 7495200, 9102, 3154, 13
7260, 5183200, 9065, 3164, 13
7270, 3987400, 9045, 3174, 13
7280, 5202900, 9084, 3184, 13
7290, 5683500, 9102, 3194, 13
7300, 6943700, 9118, 3204, 13
7310, 4908700, 9063, 3214, 13
7320, 3618300, 9088, 3224, 13
7330, 3532100, 9124, 3234, 13
7340, 4041700, 9167, 3244, 13
7350, 4104600, 9130, 3254, 13
7360, 3644600, 9143, 3264, 13
7370, 3457400, 9106, 3274, 13
7380, 4419500, 9176, 3284, 13
7390, 3471700, 9116, 3294, 13
7400, 3915100, 9092, 3304, 13
7410, 3596300, 9122, 3314, 13
7420, 4813800, 9185, 3324, 13
7430, 3652000, 9104, 3334, 13
7440, 3532600, 9137, 3344, 13
7450, 3475700, 9089, 3354, 13
7460, 3798000, 9116, 3364, 13
7470, 3606500, 9038, 3374, 13
7480, 4642700, 9196, 3384, 13
7490, 3892000, 9181, 3394, 13
7500, 3925100, 9215, 3404, 13
7510, 3885100, 9205, 3414, 13
7520, 4533100, 9182, 3424, 13
7530, 4578600, 9214, 3434, 13
7540, 4122400, 9207, 3444, 13
7550, 4220400, 9121, 3454, 13
7560, 6564900, 9181, 3464, 13
