n, time_ns, comparisons, allocations, max_recursion_depth
6200, 247900, 61314, 136, 9
6210, 238000, 60399, 122, 8
6220, 233800, 64904, 129, 9
6230, 235600, 60916, 133, 8
6240, 234100, 61181, 134, 8
6250, 238700, 60295, 130, 10
6260, 221400, 55052, 99, 8
6270, 237400, 61660, 128, 10
6280, 235700, 61402, 124, 9
6290, 238500, 58032, 122, 9
6300, 236300, 56950, 127, 9
6310, 245300, 61409, 139, 9
6320, 226700, 57476, 109, 10
6330, 231200, 58769, 114, 9
6340, 245100, 60774, 133, 9
6350, 244100, 58703, 132, 9
6360, 246300, 62274, 132, 10
6370, 246100, 61684, 135, 8
6380, 228200, 56747, 120, 9
6390, 239700, 58401, 126, 9
6400, 239500, 58679, 125, 9
6410, 249200, 59569, 133, 8
6420, 240500, 59654, 130, 9
6430, 217100, 57854, 109, 10
6440, 241100, 59033, 128, 9
6450, 244100, 60145, 138, 9
6460, 246700, 62499, 145, 8
6470, 219100, 54481, 99, 9
6480, 240800, 61021, 136, 10
6490, 490800, 54997, 106, 8
6500, 247100, 60207, 128, 10
6510, 352700, 60409, 142, 8
6520, 394300, 58836, 120, 9
6530, 340600, 62943, 144, 8
6540, 327400, 58836, 123, 8
6550, 348600, 63968, 128, 8
6560, 336600, 63488, 122, 8
6570, 344200, 63345, 131, 9
6580, 249300, 66196, 120, 9
6590, 472000, 60570, 138, 10
6600, 281300, 61734, 140, 8
6610, 269000, 59495, 130, 8
6620, 266400, 62576, 128, 9
6630, 236100, 53741, 99, 9
6640, 281800, 68654, 137, 10
6650, 275500, 63433, 146, 8
6660, 269600, 66432, 140, 9
6670, 258900, 63213, 130, 9
6680, 253600, 64273, 134, 10
6690, 253200, 62486, 143, 9
6700, 259400, 63477, 126, 9
6710, 252500, 62597, 143, 9
6720, 227600, 56298, 110, 9
6730, 252600, 61716, 133, 10
6740, 254900, 64592, 144, 9
6750, 225200, 60266, 96, 9
6760, 257200, 60916, 128, 9
6770, 240800, 63871, 111, 9
6780, 256300, 63024, 126, 10
6790, 256000, 59382, 125, 10
6800, 255000, 65370, 135, 9
6810, 385000, 64860, 137, 8
6820, 263700, 63101, 123, 8
6830, 246700, 64120, 122, 8
6840, 251200, 65014, 128, 9
6850, 254900, 66665, 130, 9
6860, 257500, 69629, 136, 9
6870, 262100, 64306, 126, 9
6880, 261300, 64294, 142, 9
6890, 258500, 63753, 144, 8
6900, 249900, 62195, 109, 8
6910, 264400, 65214, 143, 8
6920, 260300, 63579, 132, 9
6930, 262200, 64092, 135, 9
6940, 248000, 64182, 114, 8
6950, 341300, 65051, 125, 9
6960, 304600, 65306, 143, 10
6970, 273800, 73130, 147, 8
6980, 267500, 64662, 138, 11
6990, 266000, 67638, 139, 8
7000, 279400, 66002, 146, 10
7010, 252800, 63287, 119, 9
7020, 263300, 69252, 126, 8
7030, 266700, 64493, 114, 10
7040, 261800, 67651, 132, 9
7050, 262900, 68754, 135, 9
7060, 590700, 65729, 134, 10
7070, 309100, 67386, 145, 8
7080, 309400, 67710, 142, 8
7090, 279600, 72904, 146, 9
7100, 268600, 67190, 142, 10
7110, 277700, 68485, 146, 9
7120, 279900, 66191, 144, 8
7130, 272400, 68336, 149, 8
7140, 268100, 65585, 129, 10
7150, 266600, 65349, 138, 9
7160, 274200, 66825, 139, 10
7170, 276300, 68882, 127, 8
7180, 275100, 70377, 140, 9
7190, 284500, 68203, 154, 8
7200, 276000, 69923, 140, 8
7210, 270200, 68770, 135, 9
7220, 265000, 66313, 116, 9
7230, 784100, 73959, 149, 11
7240, 274900, 70654, 149, 8
7250, 280400, 67736, 142, 8
7260, 306100, 70451, 136, 10
7270, 277200, 68154, 145, 9
7280, 280500, 68956, 137, 9
7290, 275700, 72349, 141, 9
7300, 275200, 68508, 142, 10
7310, 251000, 60680, 108, 9
7320, 273100, 65010, 127, 8
7330, 276000, 68402, 139, 9
7340, 325800, 65123, 125, 10
7350, 287700, 65475, 136, 8
7360, 276600, 69231, 127, 9
7370, 267100, 60048, 104, 7
7380, 337300, 73710, 142, 10
7390, 371700, 67016, 136, 8
7400, 841300, 72424, 147, 8
7410, 378000, 66547, 145, 10
7420, 347800, 64458, 114, 8
7430, 373700, 65457, 136, 8
7440, 394000, 69308, 139, 9
7450, 378800, 71796, 128, 9
7460, 284900, 71362, 119, 8
7470, 294600, 73789, 136, 9
7480, 297400, 68800, 126, 8
7490, 282500, 63759, 118, 9
7500, 287400, 70452, 149, 8
7510, 253400, 67814, 111, 9
7520, 273400, 69736, 127, 8
7530, 294600, 71866, 147, 9
7540, 281400, 67969, 135, 8
7550, 284700, 72069, 148, 10
7560, 445300, 72120, 140, 9
7570, 287000, 71133, 145, 8
7580, 307700, 68692, 146, 9
7590, 294000, 73683, 146, 9
7600, 275100, 66317, 124, 8
7610, 296000, 77253, 149, 9
7620, 256500, 60539, 113, 8
7630, 289100, 70483, 150, 10
7640, 364300, 71781, 148, 9
7650, 303800, 69638, 137, 10
7660, 294500, 69290, 141, 9
7670, 295100, 74026, 144, 9
7680, 302200, 71790, 148, 8
7690, 292700, 71373, 161, 8
7700, 290900, 75290, 154, 8
7710, 291700, 71322, 125, 8
7720, 302100, 73610, 146, 9
7730, 301200, 70527, 154, 10
7740, 298600, 78097, 140, 8
7750, 301300, 72104, 148, 9
7760, 308700, 71572, 159, 9
7770, 298800, 74333, 147, 9
7780, 290500, 72470, 145, 9
7790, 293000, 74377, 142, 9
7800, 309300, 76923, 159, 8
7810, 265400, 67183, 102, 9
7820, 298300, 76786, 151, 9
7830, 300500, 77807, 150, 9
7840, 301300, 81524, 159, 9
7850, 306500, 71278, 147, 9
7860, 296600, 77085, 142, 10
7870, 295900, 76369, 145, 10
7880, 276400, 71392, 114, 9
7890, 301900, 77062, 144, 9
7900, 302700, 70622, 142, 8
7910, 294000, 74606, 129, 9
7920, 148100, 35642, 47, 10
7930, 289400, 70583, 134, 10
7940, 302900, 73680, 154, 9
7950, 311200, 75696, 152, 8
7960, 298200, 78479, 133, 9
7970, 286800, 76702, 125, 9
7980, 292600, 78362, 122, 9
7990, 308400, 79219, 152, 8
8000, 310400, 81487, 151, 9
8010, 301100, 75233, 147, 9
8020, 299100, 70447, 149, 9
