n, time_ns, comparisons, allocations, max_recursion_depth
4070, 286700, 60889, 37200, 7
4080, 293700, 51766, 31348, 8
4090, 372000, 54562, 32212, 8
4100, 391100, 54064, 32047, 7
4110, 325800, 56247, 38324, 8
4120, 320100, 54200, 36150, 7
4130, 382900, 61846, 39706, 7
4140, 291300, 55327, 31361, 7
4150, 301100, 65002, 43963, 8
4160, 316000, 59095, 33219, 7
4170, 393900, 54161, 33536, 8
4180, 395200, 61028, 35558, 7
4190, 381000, 57980, 36806, 7
4200, 399400, 58146, 36741, 7
4210, 385400, 60520, 35153, 8
4220, 381900, 58003, 36275, 8
4230, 367700, 59385, 34802, 7
4240, 430900, 59195, 31562, 7
4250, 376700, 57759, 35445, 7
4260, 388200, 56551, 34814, 8
4270, 321800, 56404, 35367, 8
4280, 321600, 58005, 38218, 8
4290, 311400, 58440, 31406, 7
4300, 310000, 54880, 33384, 7
4310, 308000, 60353, 38378, 8
4320, 304000, 61598, 39772, 7
4330, 312000, 58904, 37938, 8
4340, 295100, 62529, 39382, 7
4350, 306500, 59296, 36242, 7
4360, 333400, 61247, 42101, 8
4370, 308100, 59802, 39511, 7
4380, 317600, 60930, 41089, 8
4390, 329300, 62042, 37480, 7
4400, 368300, 64181, 34688, 7
4410, 313800, 62682, 43182, 8
4420, 309400, 59372, 35045, 8
4430, 313000, 61107, 38827, 8
4440, 326200, 59634, 37020, 8
4450, 318300, 60524, 36574, 8
4460, 345400, 69615, 38922, 8
4470, 394200, 64794, 41178, 7
4480, 347900, 60395, 34655, 7
4490, 329200, 62091, 37001, 8
4500, 459000, 62055, 36376, 7
4510, 335600, 63131, 37533, 8
4520, 339600, 62141, 38835, 7
4530, 356700, 64123, 36868, 8
4540, 335900, 63259, 39947, 7
4550, 319900, 62908, 38606, 8
4560, 323600, 62712, 33851, 8
4570, 406800, 70657, 43881, 8
4580, 348000, 62096, 37388, 8
4590, 337700, 62910, 39864, 8
4600, 334700, 63493, 39340, 8
4610, 347300, 61309, 36141, 8
4620, 431800, 61563, 39758, 8
4630, 402000, 63745, 37508, 8
4640, 430800, 66079, 44186, 8
4650, 445500, 64711, 39017, 8
4660, 1299900, 66061, 39948, 8
